time;lat;lon;pr;tmax;tmin;ih
05-2000;-36,825;-72,825;55,420;15,610;4,583;3
05-2000;-36,825;-72,775;56,440;15,637;4,334;3
05-2000;-36,825;-72,725;59,420;15,552;4,192;3
05-2000;-36,825;-72,675;63,190;15,397;4,336;3
05-2000;-36,825;-72,625;63,480;15,348;4,444;3
05-2000;-36,825;-72,575;62,430;15,488;4,460;3
05-2000;-36,825;-72,525;58,190;16,104;4,390;3
05-2000;-36,825;-72,475;55,920;16,487;4,094;3
05-2000;-36,825;-72,425;55,390;16,477;4,076;3
05-2000;-36,825;-72,375;55,840;16,405;3,915;3
05-2000;-36,825;-72,325;56,860;16,499;3,941;3
05-2000;-36,825;-72,275;58,240;16,712;3,898;3
05-2000;-36,825;-72,225;58,930;16,731;3,863;3
05-2000;-36,825;-72,175;59,010;16,591;3,829;3
05-2000;-36,825;-72,125;59,500;16,523;3,741;3
05-2000;-36,825;-72,075;60,410;16,592;3,764;3
05-2000;-36,825;-72,025;61,230;16,419;3,810;3
05-2000;-36,825;-71,975;64,500;16,260;3,695;3
05-2000;-36,825;-71,925;70,000;16,058;3,490;3
05-2000;-36,825;-71,875;75,870;15,517;3,623;3
05-2000;-36,825;-71,825;81,120;15,588;3,550;3
05-2000;-36,825;-71,775;90,080;14,890;3,694;3
05-2000;-36,825;-71,725;97,450;14,663;3,326;3
05-2000;-36,825;-71,675;107,030;13,991;3,077;2
05-2000;-36,825;-71,625;117,540;13,357;2,555;2
05-2000;-36,825;-71,575;122,770;12,878;2,134;2
05-2000;-36,825;-71,525;119,090;12,464;1,166;2
05-2000;-36,825;-71,475;131,170;10,693;-,634;1
05-2000;-36,825;-71,425;153,850;8,284;-2,160;1
05-2000;-36,825;-71,375;128,190;9,355;-1,576;1
05-2000;-36,825;-71,325;103,500;10,685;-1,469;1
05-2000;-36,825;-71,275;77,320;12,978;-,441;2
05-2000;-36,825;-71,225;81,120;11,873;-,994;1
05-2000;-36,825;-71,175;83,960;9,604;-1,546;1
